Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
109,RU94GI,439.250000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
110,R94,439.250000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
111,R95,439.275000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
112,R96,439.300000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
113,R97,439.325000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
114,R98NA,439.350000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
115,R99,439.375000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
116,R100BI,439.400000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
117,R101,439.425000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
122,ISS-V,145.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
123,ISS-P,145.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
124,ISS,437.560000,-,0.020000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
125,ISS,437.555000,-,0.010000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
126,ISS,437.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
127,ISS,437.545000,+,0.010000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
128,ISS,437.540000,+,0.020000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
200,Larrun,51.850000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
